epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4897,2.47103,4.08895,2.04552,0.00609,0.39091,0.01546,0.00815,1.58108,3.76959,1.28445,0.00015003,0.00015003,0.00015003
2,20.474,1.65369,2.97607,1.13972,0.00952,0.58601,0.22848,0.11056,1.40192,3.33801,1.08476,0.000311504,0.000311504,0.000311504
3,28.3869,1.48892,1.79514,1.0715,0.0101,0.66695,0.17315,0.09992,1.25778,3.2154,1.06858,0.000467477,0.000467477,0.000467477
4,36.1211,1.44631,1.52771,1.08886,0.01095,0.76411,0.04713,0.02585,1.29178,3.2667,1.09476,0.000617949,0.000617949,0.000617949
5,44.0414,1.35572,1.31914,1.06273,0.98804,0.06244,0.211,0.1421,1.27159,2.98678,1.08423,0.000762919,0.000762919,0.000762919
6,51.6658,1.32489,1.21967,1.0721,0.90339,0.15969,0.29447,0.19718,1.19981,2.76469,1.03127,0.000902389,0.000902389,0.000902389
7,59.6691,1.33034,1.1675,1.05665,0.90386,0.14976,0.38312,0.2463,1.27107,2.51895,1.10906,0.00103636,0.00103636,0.00103636
8,67.3701,1.32176,1.13209,1.07199,0.84659,0.19586,0.36598,0.22626,1.41678,2.46257,1.20317,0.00116482,0.00116482,0.00116482
9,75.3302,1.33349,1.12067,1.06583,0.49499,0.3935,0.42488,0.25802,1.32839,2.12344,1.17076,0.00128779,0.00128779,0.00128779
10,83.1521,1.30531,1.06564,1.06479,0.70532,0.3602,0.39626,0.24008,1.3427,2.01938,1.16587,0.00140526,0.00140526,0.00140526
11,90.8093,1.3086,1.04978,1.06874,0.42565,0.36663,0.37223,0.22731,1.42025,1.93977,1.22587,0.00139195,0.00139195,0.00139195
12,98.3917,1.29207,1.01665,1.05954,0.56782,0.49227,0.42046,0.26452,1.35301,2.07129,1.19289,0.00136444,0.00136444,0.00136444
13,106.065,1.28306,0.98215,1.05446,0.57847,0.3628,0.37758,0.23719,1.39151,1.87074,1.20455,0.00133693,0.00133693,0.00133693
14,113.676,1.30524,0.96723,1.06536,0.62698,0.2083,0.26609,0.1536,nan,nan,nan,0.00130943,0.00130943,0.00130943
15,121.371,1.28218,0.92933,1.05768,0.69798,0.6211,0.64777,0.42176,1.21954,1.17448,1.11241,0.00128192,0.00128192,0.00128192
16,128.989,1.22523,0.87906,1.04121,0.69391,0.55757,0.6163,0.39113,1.26451,1.10166,1.13016,0.00125442,0.00125442,0.00125442
17,136.594,1.22052,0.87697,1.04098,0.6745,0.60296,0.61931,0.41025,1.20268,1.32487,1.12191,0.00122691,0.00122691,0.00122691
18,144.3,1.28665,0.8972,1.05558,0.76776,0.66729,0.70945,0.43506,1.26629,1.21679,1.1237,0.00119941,0.00119941,0.00119941
19,151.898,1.2408,0.84142,1.0388,0.77067,0.66091,0.72965,0.48118,1.22057,1.30966,1.13536,0.0011719,0.0011719,0.0011719
20,159.571,1.21142,0.83809,1.02471,0.86853,0.68421,0.77904,0.50865,1.13764,0.94461,1.06383,0.0011444,0.0011444,0.0011444
21,167.091,1.17766,0.82016,1.02263,0.77159,0.63554,0.69067,0.45617,1.18862,1.11774,1.11931,0.00111689,0.00111689,0.00111689
22,174.657,1.20902,0.8247,1.02773,0.85917,0.71357,0.76245,0.49392,1.21653,0.93723,1.10249,0.00108938,0.00108938,0.00108938
23,182.223,1.17507,0.76958,1.01331,0.87931,0.70885,0.8023,0.52368,1.1786,0.77451,1.07268,0.00106188,0.00106188,0.00106188
24,189.975,1.18964,0.77073,1.02134,0.82966,0.71166,0.7592,0.47289,1.29734,0.89107,1.15054,0.00103437,0.00103437,0.00103437
25,197.474,1.18077,0.74377,1.01726,0.78588,0.69077,0.76633,0.50603,1.1388,0.80909,1.06062,0.00100687,0.00100687,0.00100687
26,205.155,1.17273,0.74069,1.00992,0.87235,0.72734,0.80953,0.52528,1.12822,0.77472,1.05485,0.000979362,0.000979362,0.000979362
27,212.846,1.17863,0.73402,1.02021,0.89497,0.7366,0.83229,0.54325,1.12607,0.692,1.04084,0.000951857,0.000951857,0.000951857
28,220.474,1.15371,0.71647,1.00796,0.86708,0.76394,0.82611,0.55161,1.09002,0.72161,1.03734,0.000924352,0.000924352,0.000924352
29,228.166,1.17813,0.73526,1.00007,0.85171,0.73985,0.81868,0.509,1.18537,0.76525,1.10117,0.000896846,0.000896846,0.000896846
30,235.899,1.16058,0.71538,1.00778,0.79084,0.67683,0.7544,0.462,1.15916,0.95655,1.11213,0.00086934,0.00086934,0.00086934
31,243.615,1.13092,0.69738,0.99632,0.82241,0.77155,0.82154,0.55325,1.07845,0.70985,1.02505,0.000841835,0.000841835,0.000841835
32,251.375,1.12861,0.69014,0.99837,0.87717,0.71814,0.80415,0.51761,1.19235,0.78319,1.08229,0.000814329,0.000814329,0.000814329
33,258.965,1.11309,0.65838,0.99006,0.87674,0.72639,0.8215,0.53771,1.08782,0.66526,1.04493,0.000786824,0.000786824,0.000786824
34,266.54,1.13368,0.67928,1.00546,0.85763,0.80504,0.85376,0.57053,1.05756,0.61808,1.01645,0.000759318,0.000759318,0.000759318
35,274.167,1.10179,0.65358,0.99601,0.86761,0.78222,0.84472,0.54827,1.12563,0.60474,1.04066,0.000731813,0.000731813,0.000731813
